Company,"Previous
Closing
Price",Opening Price,High,Low,Close,Change,Trades,Volume,Value,Trade Date
ABBEYBDS,3.6,3.6,--,--,3.60,,14,"15,340","51,990.40",12 Mar 25
ABCTRANS,1.5,1.5,--,--,1.50,,40,"206,225","310,078.70",12 Mar 25
ACADEMY,2.9,2.9,--,--,2.90,,10,"2,640","7,881.65",12 Mar 25
ACCESSCORP [MRF],23.95,23.95,23.95,23.80,23.90,-0.05,564,"15,531,818","371,573,986.95",12 Mar 25
AFRINSURE [MRF],0.2,0.2,--,--,0.20,,0,--,--,12 Mar 25
AFRIPRUD,35.2,35.2,34.65,33.55,33.55,-1.65,419,"7,265,358","249,253,371.25",12 Mar 25
AFROMEDIA [MRF],0.24,0.24,--,--,0.24,,0,--,--,12 Mar 25
AIICO,1.65,1.65,1.65,1.56,1.60,-0.05,174,"9,511,216","15,236,604.95",12 Mar 25
AIRTELAFRI,2156.9,2156.9,--,--,2156.90,,5,432,"1,024,920.00",12 Mar 25
ALEX [BLS],7.15,7.15,--,--,7.15,,5,"1,298","9,495.45",12 Mar 25
ARADEL,535,535,--,--,535.00,,248,"955,948","511,625,046.40",12 Mar 25
ASOSAVINGS [DWL],0.5,0.5,--,--,0.50,,0,--,--,12 Mar 25
AUSTINLAZ [RST],2.09,2.09,--,--,2.09,,8,"3,545","7,366.80",12 Mar 25
AVAIF,1000000,1000000,--,--,1000000.00,,0,--,--,12 Mar 25
BAPLC,6.25,6.25,--,--,6.25,,0,--,--,12 Mar 25
BERGER,20.9,20.9,18.95,18.85,18.85,-2.05,54,"884,660","16,775,869.70",12 Mar 25
BETAGLAS,99.85,99.85,--,--,99.85,,12,"5,649","545,022.50",12 Mar 25
BUACEMENT,93,93,--,--,93.00,,114,"78,530","6,572,961.00",12 Mar 25
BUAFOODS,418,418,--,--,418.00,,61,"5,752","2,163,902.40",12 Mar 25
CADBURY,23,23,--,--,23.00,,85,"315,588","7,343,344.45",12 Mar 25
CAP,47,47,--,--,47.00,,21,"57,146","2,555,442.00",12 Mar 25
CAPOIL [DIP],0.2,0.2,--,--,0.20,,0,--,--,12 Mar 25
CAVERTON,2.75,2.75,3.02,2.85,3.00,0.25,168,"6,376,195","18,689,360.38",12 Mar 25
CHAMPION [BLS],3.85,3.85,--,--,3.85,,14,"14,209","55,672.25",12 Mar 25
CHAMS,2.15,2.15,2.13,2.11,2.13,-0.02,61,"3,188,152","6,732,296.89",12 Mar 25
CHELLARAM,7.89,7.89,--,--,7.89,,6,"11,950","93,656.15",12 Mar 25
CILEASING,3.99,3.99,4.11,3.92,4.00,0.01,48,"2,574,185","10,298,693.23",12 Mar 25
CONHALLPLC,3.7,3.7,3.46,3.46,3.46,-0.24,36,"653,078","2,293,095.05",12 Mar 25
CONOIL,368,368,331.20,331.20,331.20,-36.8,31,"102,184","33,843,340.80",12 Mar 25
CORNERST,3.19,3.19,3.35,3.20,3.33,0.14,49,"3,403,535","11,302,636.43",12 Mar 25
CUSTODIAN,20,20,--,--,20.00,,65,"685,369","13,469,618.10",12 Mar 25
CUTIX,2.38,2.38,2.50,2.45,2.45,0.07,74,"2,035,072","5,030,115.55",12 Mar 25
CWG,8.4,8.4,8.95,8.55,8.60,0.2,81,"2,553,955","22,439,193.00",12 Mar 25
DAARCOMM,0.62,0.62,--,--,0.62,,25,"432,145","282,735.30",12 Mar 25
DANGCEM,480,480,--,--,480.00,,181,"421,756","182,198,592.00",12 Mar 25
DANGSUGAR,40,40,38.80,38.00,38.80,-1.2,274,"1,362,067","51,762,538.60",12 Mar 25
DEAPCAP [DWL],0.95,0.95,--,--,0.95,,18,"224,088","209,332.28",12 Mar 25
DUNLOP [DIP],0.2,0.2,--,--,0.20,,0,--,--,12 Mar 25
EKOCORP [BMF],5.8,5.8,--,--,5.80,,0,--,--,12 Mar 25
ELLAHLAKES,3.09,3.09,3.29,3.15,3.18,0.09,73,"2,735,023","8,622,058.72",12 Mar 25
ENAMELWA,23.2,23.2,--,--,23.20,,3,104,"2,173.60",12 Mar 25
ETERNA,38,38,--,--,38.00,,107,"493,543","18,954,297.70",12 Mar 25
ETI [MRF],29.4,29.4,--,--,29.40,,57,"229,087","6,650,258.55",12 Mar 25
ETRANZACT,6.5,6.5,--,--,6.50,,13,"20,312","122,607.80",12 Mar 25
EUNISELL,10.75,10.75,--,--,10.75,,10,"57,146","613,736.85",12 Mar 25
FCMB,9.9,9.9,10.10,9.25,9.60,-0.3,231,"17,320,966","168,106,141.00",12 Mar 25
FIDELITYBK [MRF],17.05,17.05,17.35,17.05,17.15,0.1,283,"6,540,759","112,192,345.25",12 Mar 25
FIDSON,18.95,18.95,--,--,18.95,,40,"168,172","3,127,487.00",12 Mar 25
FIRSTHOLDCO,28.95,28.95,28.75,28.60,28.60,-0.35,237,"2,427,065","69,591,096.95",12 Mar 25
FTNCOCOA [RST],1.69,1.69,1.85,1.70,1.80,0.11,100,"2,747,662","4,949,571.73",12 Mar 25
GEREGU,1150,1150,--,--,1150.00,,38,"2,036","2,107,260.00",12 Mar 25
GOLDBREW [BMF],7.09,7.09,--,--,7.09,,1,200,"1,400.00",12 Mar 25
GOLDINSURE [DIP],0.2,0.2,--,--,0.20,,0,--,--,12 Mar 25
GTCO [MRF],59.9,59.9,61.60,60.00,61.60,1.7,304,"3,823,908","231,766,233.15",12 Mar 25
GUINEAINS,0.63,0.63,0.63,0.63,0.63,0,29,"476,386","300,211.90",12 Mar 25
GUINNESS,79.9,79.9,--,--,79.90,,47,"16,017","1,233,338.75",12 Mar 25
HMCALL,5.87,5.87,--,--,5.87,,6,"22,780","120,506.20",12 Mar 25
HONYFLOUR [BLS],12.52,12.52,12.55,12.51,12.51,-0.01,149,"1,320,365","16,557,933.80",12 Mar 25
IKEJAHOTEL,10.7,10.7,11.05,9.65,10.60,-0.1,99,"1,852,933","19,230,235.20",12 Mar 25
IMG,38,38,--,--,38.00,,4,"10,085","347,932.50",12 Mar 25
INFINITY [BLS],7,7,--,--,7.00,,2,"1,780","11,214.00",12 Mar 25
INTBREW [BMF],5.2,5.2,--,--,5.20,,36,"198,904","1,031,090.35",12 Mar 25
INTENEGINS [RST],1.94,1.94,1.95,1.75,1.75,-0.19,52,"2,996,403","5,405,705.67",12 Mar 25
JAIZBANK,3.31,3.31,3.51,3.35,3.51,0.2,191,"187,353,653","628,093,386.48",12 Mar 25
JAPAULGOLD,2.04,2.04,2.08,2.04,2.08,0.04,89,"3,316,990","6,849,081.19",12 Mar 25
JBERGER,126.3,126.3,--,--,126.30,,55,"296,504","33,740,409.80",12 Mar 25
JOHNHOLT,8.6,8.6,--,--,8.60,,17,"29,684","233,953.90",12 Mar 25
JULI,10.3,10.3,--,--,10.30,,5,"3,240","30,456.00",12 Mar 25
LASACO,2.85,2.85,--,--,2.85,,42,"908,492","2,458,465.78",12 Mar 25
LEARNAFRCA,3.63,3.63,3.35,3.35,3.35,-0.28,35,"726,415","2,446,595.24",12 Mar 25
LINKASSURE,1.14,1.14,1.20,1.20,1.20,0.06,17,"369,685","434,014.10",12 Mar 25
LIVESTOCK,9.85,9.85,10.83,10.00,10.16,0.31,569,"14,627,074","154,101,998.15",12 Mar 25
LIVINGTRUST,4.81,4.81,--,--,4.81,,3,"2,000","8,920.00",12 Mar 25
MANSARD,9,9,9.35,9.30,9.35,0.35,65,"1,214,541","11,302,452.20",12 Mar 25
MAYBAKER,8.2,8.2,8.25,8.25,8.25,0.05,30,"260,667","2,152,442.40",12 Mar 25
MBENEFIT [MRF],0.61,0.61,--,--,0.61,,0,--,--,12 Mar 25
MCNICHOLS,1.64,1.64,--,--,1.64,,11,"98,452","161,432.53",12 Mar 25
MECURE,11.25,11.25,--,--,11.25,,25,"89,654","1,069,998.35",12 Mar 25
MEDVIEWAIR [DIP],1.62,1.62,--,--,1.62,,0,--,--,12 Mar 25
MEYER,9.25,9.25,--,--,9.25,,3,771,"6,902.75",12 Mar 25
MORISON,3.25,3.25,--,--,3.25,,0,--,--,12 Mar 25
MRS,178,178,--,--,178.00,,106,"148,674","25,244,949.50",12 Mar 25
MTNN,245,245,245.80,245.00,245.00,0,457,"10,960,629","2,687,584,784.60",12 Mar 25
MULTITREX [DWL],0.36,0.36,--,--,0.36,,0,--,--,12 Mar 25
MULTIVERSE,8.8,8.8,7.95,7.95,7.95,-0.85,57,"810,116","6,518,183.00",12 Mar 25
NAHCO,63,63,62.40,62.40,62.40,-0.6,75,"883,608","55,212,017.45",12 Mar 25
NASCON,41.6,41.6,--,--,41.60,,52,"450,240","18,393,165.30",12 Mar 25
NB,31.1,31.1,31.00,31.00,31.00,-0.1,85,"14,047,900","435,637,856.10",12 Mar 25
NCR,7.3,7.3,--,--,7.30,,3,"7,700","53,900.00",12 Mar 25
NEIMETH,3,3,--,--,3.00,,27,"359,980","991,425.60",12 Mar 25
NEM,14,14,--,--,14.00,,33,"491,449","6,673,453.90",12 Mar 25
NESTLE,975,975,--,--,975.00,,55,"33,717","33,091,327.10",12 Mar 25
NGXGROUP,33,33,33.00,30.95,30.95,-2.05,109,"6,746,773","210,234,944.15",12 Mar 25
NIDF,111.7,111.7,--,--,111.70,,16,"35,087","4,176,898.80",12 Mar 25
NNFM,72.55,72.55,--,--,72.55,,29,"30,973","2,214,556.00",12 Mar 25
NOTORE [BLS],62.5,62.5,--,--,62.50,,2,20,"1,250.00",12 Mar 25
NPFMCRFBK,1.84,1.84,1.94,1.84,1.84,0,93,"6,032,158","11,576,295.78",12 Mar 25
NSLTECH,0.62,0.62,0.68,0.57,0.68,0.06,196,"43,511,622","28,620,911.72",12 Mar 25
OANDO,53.75,53.75,52.70,52.70,52.70,-1.05,569,"4,141,370","223,821,847.30",12 Mar 25
OKOMUOIL,545.2,545.2,--,--,545.20,,93,"67,248","36,677,943.70",12 Mar 25
OMATEK,0.71,0.71,0.76,0.68,0.68,-0.03,40,"1,944,729","1,372,836.21",12 Mar 25
PHARMDEKO [MRF],1.83,1.83,--,--,1.83,,0,--,--,12 Mar 25
PREMPAINTS [MRF],10,10,--,--,10.00,,0,--,--,12 Mar 25
PRESCO,785,785,--,--,785.00,,131,"495,285","368,528,097.30",12 Mar 25
PRESTIGE [BLS],1.07,1.07,1.04,1.04,1.04,-0.03,20,"425,741","444,672.92",12 Mar 25
PZ,37.1,37.1,--,--,37.10,,102,"1,174,048","42,254,119.35",12 Mar 25
REDSTAREX,5.9,5.9,--,--,5.90,,35,"291,800","1,648,846.58",12 Mar 25
REGALINS,0.69,0.69,0.67,0.63,0.63,-0.06,41,"6,204,105","3,966,689.35",12 Mar 25
RONCHESS,81,81,--,--,81.00,,0,--,--,12 Mar 25
ROYALEX,0.76,0.76,0.75,0.73,0.73,-0.03,27,"1,587,491","1,176,497.51",12 Mar 25
RTBRISCOE,2.52,2.52,2.40,2.40,2.40,-0.12,21,"181,871","438,196.14",12 Mar 25
SCOA,4.07,4.07,--,--,4.07,,22,"42,293","169,466.45",12 Mar 25
SEPLAT,5700,5700,--,--,5700.00,,49,"3,554","18,232,020.00",12 Mar 25
SFSREIT,206,206,--,--,206.00,,62,"58,355","12,393,222.20",12 Mar 25
SKYAVN,46.5,46.5,--,--,46.50,,16,"219,685","9,199,804.75",12 Mar 25
SMURFIT [MRF],0.39,0.39,--,--,0.39,,0,--,--,12 Mar 25
SOVRENINS,1.06,1.06,1.03,0.96,1.00,-0.06,78,"989,732,865","987,477,079.28",12 Mar 25
STACO [DWL],0.48,0.48,--,--,0.48,,0,--,--,12 Mar 25
STANBIC,60,60,--,--,60.00,,75,"108,442","6,545,934.60",12 Mar 25
STDINSURE [DWL],0.2,0.2,--,--,0.20,,0,--,--,12 Mar 25
STERLINGNG,5.25,5.25,5.40,5.27,5.30,0.05,93,"2,515,391","13,390,478.68",12 Mar 25
SUNUASSUR,4.91,4.91,--,--,4.91,,29,"390,627","1,912,616.55",12 Mar 25
TANTALIZER,2.86,2.86,3.14,2.86,3.14,0.28,104,"8,146,152","25,458,924.35",12 Mar 25
THOMASWY [MRS],1.85,1.85,--,--,1.85,,0,--,--,12 Mar 25
TIP,3.7,3.7,--,--,3.70,,18,"271,822","1,021,776.49",12 Mar 25
TOTAL,637,637,--,--,637.00,,38,"33,078","21,236,552.60",12 Mar 25
TRANSCOHOT,126.1,126.1,--,--,126.10,,42,"5,562","655,250.15",12 Mar 25
TRANSCORP,51,51,--,--,51.00,,203,"603,245","29,081,957.50",12 Mar 25
TRANSEXPR,2,2,--,--,2.00,,0,--,--,12 Mar 25
TRANSPOWER,364.9,364.9,--,--,364.90,,55,"7,835","2,573,797.50",12 Mar 25
TRIPPLEG,2.2,2.2,--,--,2.20,,3,"28,385","57,970.00",12 Mar 25
UACN,35.05,35.05,--,--,35.05,,47,"108,316","3,848,321.95",12 Mar 25
UBA [MRF],37.6,37.6,37.50,37.00,37.00,-0.6,359,"5,593,385","207,539,485.05",12 Mar 25
UCAP,20.3,20.3,19.80,18.50,19.30,-1,457,"18,281,718","346,426,374.30",12 Mar 25
UHOMREIT,56.9,56.9,--,--,56.90,,19,"617,405","31,642,006.25",12 Mar 25
UNILEVER,40,40,--,--,40.00,,43,"111,731","4,273,161.90",12 Mar 25
UNIONDICON [DWL],4.85,4.85,4.80,4.40,4.80,-0.05,26,"366,777","1,655,354.60",12 Mar 25
UNITYBNK [MRF],1.51,1.51,--,--,1.51,,0,--,--,12 Mar 25
UNIVINSURE,0.61,0.61,0.60,0.56,0.56,-0.05,72,"15,643,160","9,085,047.86",12 Mar 25
UPDC [BLS],2.7,2.7,2.83,2.52,2.52,-0.18,101,"4,303,296","11,589,878.74",12 Mar 25
UPDCREIT,6.25,6.25,6.70,5.65,5.80,-0.45,79,"1,911,182","11,471,413.85",12 Mar 25
UPL,4.8,4.8,--,--,4.80,,24,"419,480","1,849,181.70",12 Mar 25
VANLEER [DIP],5.45,5.45,--,--,5.45,,0,--,--,12 Mar 25
VERITASKAP,1.1,1.1,1.12,1.10,1.10,0,41,"1,374,348","1,518,744.36",12 Mar 25
VFDGROUP,47.2,47.2,--,--,47.20,,30,"110,920","5,619,169.60",12 Mar 25
VITAFOAM,37.35,37.35,--,--,37.35,,54,"369,955","13,852,325.85",12 Mar 25
WAPCO,74,74,--,--,74.00,,91,"288,140","20,834,486.20",12 Mar 25
WAPIC,2.45,2.45,2.50,2.44,2.44,-0.01,40,"1,854,928","4,548,381.96",12 Mar 25
WEMABANK,10.95,10.95,10.95,10.70,10.95,0,255,"9,814,619","104,221,134.20",12 Mar 25
ZENITHBANK [MRF],47.5,47.5,47.75,47.30,47.75,0.25,606,"22,810,165","1,085,315,758.80",12 Mar 25
